Year,Month,Inv Date,Customer Number,Product Line,Item Number,Qty Shipped,Net Sales,Net Price,COGS,gross_profit,sales,year_month,item_name,region_name,Gross Margin
2022,5,2022-05-26,5,178,1731848745,66,65781.54,996.69,21549,44232.53999999999,65781.54,2022-05,1731848745,West,0.6724156959536064
2023,8,2023-08-19,5,53,2056244743,80,77466.4,968.33,19403,58063.399999999994,77466.4,2023-08,2056244743,North,0.7495301188644367
2021,1,2021-01-26,5,206,4765267233,46,18957.98,412.13,6375,12582.98,18957.98,2021-01,4765267233,East,0.6637299965502653
2022,7,2022-07-06,5,228,6407522215,64,8158.08,127.47,2505,5653.08,8158.08,2022-07,6407522215,South,0.6929424570487174
2022,8,2022-08-18,5,165,2114336494,84,34973.4,416.35,8317,26656.4,34973.4,2022-08,2114336494,South,0.7621906934984874
2021,6,2021-06-01,5,148,3579513121,7,4953.55,707.65,1316,3637.55,4953.55,2021-06,3579513121,South,0.7343319437575072
2023,12,2023-12-22,5,230,4791625802,81,68113.71,840.91,18187,49926.71000000001,68113.71,2023-12,4791625802,East,0.7329906123157879
2021,2,2021-02-05,5,257,760071097,60,31039.8,517.33,8709,22330.8,31039.8,2021-02,760071097,West,0.7194247385614598
2023,11,2023-11-24,5,141,5556478621,91,64529.92,709.12,21547,42982.92,64529.92,2023-11,5556478621,East,0.6660928759868291
2023,8,2023-08-03,5,276,9923790132,17,15930.53,937.09,3437,12493.53,15930.53,2023-08,9923790132,West,0.7842507436977929
2021,4,2021-04-05,5,292,1499478410,54,9489.96,175.74,3299,6190.959999999999,9489.96,2021-04,1499478410,South,0.6523694515045374
2021,12,2021-12-22,5,174,8441614438,71,17953.77,252.87,5637,12316.77,17953.77,2021-12,8441614438,East,0.6860269458726496
2023,10,2023-10-17,5,69,3706487989,61,11078.82,181.62,2237,8841.82,11078.82,2023-10,3706487989,East,0.7980831893649324
2022,9,2022-09-18,5,163,8768097736,44,35195.16,799.89,11083,24112.160000000003,35195.16,2022-09,8768097736,East,0.6850987465321937
2021,6,2021-06-06,5,70,1888447754,40,7096.8,177.42,1426,5670.8,7096.8,2021-06,1888447754,West,0.7990643670386653
2023,4,2023-04-22,5,37,3347094689,11,1401.84,127.44,356,1045.84,1401.84,2023-04,3347094689,North,0.7460480511327969
2021,4,2021-04-07,5,248,8302033862,36,25471.08,707.53,8449,17022.08,25471.08,2021-04,8302033862,North,0.6682904690339004
2022,11,2022-11-24,5,68,6445591118,45,12390.3,275.34,3126,9264.3,12390.3,2022-11,6445591118,East,0.7477058666860367
2023,11,2023-11-08,5,38,1679462781,70,47056.8,672.24,13806,33250.8,47056.8,2023-11,1679462781,East,0.7066098842250217
2023,12,2023-12-02,5,73,9475732034,71,62213.75,876.25,13673,48540.75,62213.75,2023-12,9475732034,South,0.7802254324807619
2022,2,2022-02-18,5,270,8665289568,36,11027.52,306.32,2869,8158.52,11027.52,2022-02,8665289568,West,0.7398327094396564
2023,2,2023-02-09,5,47,9196329971,79,26788.11,339.09,6000,20788.11,26788.11,2023-02,9196329971,North,0.7760200327682693
2022,12,2022-12-20,5,22,4730421067,75,69470.25,926.27,18628,50842.25,69470.25,2022-12,4730421067,North,0.7318564421460985
2021,4,2021-04-19,5,203,9647384110,74,10828.42,146.33,2190,8638.42,10828.42,2021-04,9647384110,North,0.7977544277004401
2023,4,2023-04-27,5,49,2599304349,48,45869.76,955.62,12331,33538.76,45869.76,2023-04,2599304349,West,0.7311736534047704
2021,9,2021-09-17,5,82,2348036883,24,22428.0,934.5,6963,15465.0,22428.0,2021-09,2348036883,South,0.6895398608881755
2021,7,2021-07-01,5,185,5840250170,37,22570.74,610.02,4951,17619.74,22570.74,2021-07,5840250170,East,0.78064520702467
2021,1,2021-01-13,5,281,7095954454,92,86087.16,935.73,25587,60500.16,86087.16,2021-01,7095954454,North,0.7027779752520585
2021,3,2021-03-19,5,125,2109561362,89,28975.73,325.57,9812,19163.73,28975.73,2021-03,2109561362,North,0.6613717756204934
2022,8,2022-08-13,5,29,7634887435,51,34925.82,684.82,7046,27879.82,34925.82,2022-08,7634887435,West,0.7982581368168307
2023,2,2023-02-22,12,186,5873615463,33,25200.78,763.66,8052,17148.78,25200.78,2023-02,5873615463,West,0.6804860801927559
2022,10,2022-10-02,12,275,1186300871,86,57929.6,673.6,17384,40545.6,57929.6,2022-10,1186300871,East,0.6999116168590841
2023,9,2023-09-25,12,25,7325417346,42,25638.9,610.45,7729,17909.9,25638.9,2023-09,7325417346,South,0.6985440092983709
2023,1,2023-01-15,12,42,4313791096,45,36181.35,804.03,11008,25173.35,36181.35,2023-01,4313791096,North,0.6957548571294327
2022,7,2022-07-26,12,154,8081070102,43,2302.65,53.55,579,1723.65,2302.65,2022-07,8081070102,South,0.7485505830239072
2022,1,2022-01-10,12,174,5245484976,64,14176.64,221.51,3548,10628.64,14176.64,2022-01,5245484976,East,0.7497291318676358
2022,10,2022-10-19,12,118,682060559,37,19672.53,531.69,5253,14419.529999999999,19672.53,2022-10,682060559,North,0.7329779138727962
2023,6,2023-06-28,12,250,5033244037,52,38868.96,747.48,12645,26223.96,38868.96,2023-06,5033244037,West,0.6746761426083949
2023,9,2023-09-17,12,277,5989379548,72,4271.04,59.32,1104,3167.04,4271.04,2023-09,5989379548,East,0.7415149471791413
2023,10,2023-10-01,12,163,1663531731,3,790.59,263.53,276,514.59,790.59,2023-10,1663531731,West,0.650893636398133
2021,12,2021-12-24,12,35,3724640221,64,29387.52,459.18,9255,20132.52,29387.52,2021-12,3724640221,East,0.6850703972298445
2023,9,2023-09-24,12,258,6593251868,85,69780.75,820.95,18514,51266.75,69780.75,2023-09,6593251868,East,0.7346832758318017
2022,7,2022-07-17,12,225,8380239948,17,14117.82,830.46,2938,11179.82,14117.82,2022-07,8380239948,South,0.7918942159625211
2023,6,2023-06-05,12,266,7394347092,41,39650.28,967.08,9407,30243.28,39650.28,2023-06,7394347092,East,0.7627507296291476
2021,7,2021-07-16,12,126,5938433168,63,43272.18,686.86,12994,30278.18,43272.18,2021-07,5938433168,North,0.6997146896689744
2022,1,2022-01-12,12,189,4774839101,93,55051.35,591.95,18694,36357.35,55051.35,2022-01,4774839101,North,0.6604261294228025
2021,7,2021-07-04,12,103,3951656443,78,44246.28,567.26,14158,30088.28,44246.28,2021-07,3951656443,West,0.6800182975834352
2022,1,2022-01-10,12,59,4646724171,19,16304.47,858.13,4782,11522.47,16304.47,2022-01,4646724171,West,0.7067061977482249
2022,2,2022-02-13,12,139,575213934,61,9233.57,151.37,2608,6625.57,9233.57,2022-02,575213934,West,0.717552365986287
2022,6,2022-06-13,12,269,9317370713,98,30260.44,308.78,10210,20050.44,30260.44,2022-06,9317370713,West,0.6625957851240761
2022,5,2022-05-11,12,233,6799969380,48,19335.36,402.82,5225,14110.36,19335.36,2022-05,6799969380,South,0.7297697068996906
2021,10,2021-10-18,12,246,9746551913,96,61759.68,643.33,18962,42797.68,61759.68,2021-10,9746551913,North,0.6929712071047001
2021,1,2021-01-15,12,206,1972918694,41,9740.37,237.57,2822,6918.370000000001,9740.37,2021-01,1972918694,East,0.7102779463203144
2021,11,2021-11-11,12,221,6270307476,9,4013.55,445.95,974,3039.55,4013.55,2021-11,6270307476,North,0.7573220714828518
2021,9,2021-09-26,12,155,415391676,97,88540.63,912.79,23501,65039.630000000005,88540.63,2021-09,415391676,West,0.73457383350446
2021,11,2021-11-24,12,287,4455174320,33,21050.04,637.88,4299,16751.04,21050.04,2021-11,4455174320,West,0.795772359577464
2022,10,2022-10-03,12,75,4864631645,92,22447.08,243.99,7504,14943.080000000002,22447.08,2022-10,4864631645,South,0.6657026214545501
2021,12,2021-12-23,12,242,2823492748,97,36256.66,373.78,9762,26494.660000000003,36256.66,2021-12,2823492748,North,0.7307529154643588
2021,9,2021-09-19,12,192,8432630419,3,1530.6,510.2,534,996.5999999999999,1530.6,2021-09,8432630419,North,0.6511172089376714
2021,6,2021-06-13,12,172,1684919022,24,19963.92,831.83,5844,14119.919999999998,19963.92,2021-06,1684919022,East,0.707271918541048
2021,4,2021-04-09,18,204,8495961094,26,20337.98,782.23,5364,14973.98,20337.98,2021-04,8495961094,South,0.7362569930740418
2021,7,2021-07-05,18,283,5187151635,99,40878.09,412.91,13906,26972.089999999997,40878.09,2021-07,5187151635,West,0.6598177654582198
2021,12,2021-12-17,18,226,6867459666,73,68783.52,942.24,15098,53685.520000000004,68783.52,2021-12,6867459666,North,0.7804997476139633
2023,4,2023-04-16,18,118,4633051350,42,9660.0,230.0,3110,6550.0,9660.0,2023-04,4633051350,East,0.6780538302277432
2022,5,2022-05-10,18,286,7910727153,89,65788.8,739.2,19754,46034.8,65788.8,2022-05,7910727153,West,0.6997361252979231
2023,10,2023-10-21,18,166,9268510128,23,14120.16,613.92,3777,10343.16,14120.16,2023-10,9268510128,North,0.7325101131998504
2023,5,2023-05-13,18,96,9655520794,53,15999.64,301.88,3278,12721.64,15999.64,2023-05,9655520794,West,0.7951203902087797
2023,9,2023-09-21,18,263,474481108,80,43024.0,537.8,13947,29077.0,43024.0,2023-09,474481108,South,0.6758320937151358
2022,7,2022-07-14,18,291,7509966403,53,8780.51,165.67,2723,6057.51,8780.51,2022-07,7509966403,East,0.6898813394666141
2023,12,2023-12-24,18,121,6317619100,47,46341.06,985.98,13903,32438.059999999998,46341.06,2023-12,6317619100,East,0.6999852830297796
2023,11,2023-11-23,18,115,5151437172,81,78026.49,963.29,23628,54398.490000000005,78026.49,2023-11,5151437172,East,0.6971797654873364
2021,8,2021-08-07,18,76,4372461906,99,2046.33,20.67,545,1501.33,2046.33,2021-08,4372461906,South,0.7336695449902997
2023,2,2023-02-06,18,266,8693862345,56,11195.52,199.92,2963,8232.52,11195.52,2023-02,8693862345,West,0.7353405647973476
2022,9,2022-09-13,18,172,4833697065,71,23194.99,326.69,5192,18002.99,23194.99,2022-09,4833697065,East,0.7761585583783395
2022,5,2022-05-16,18,206,6425258992,42,25268.88,601.64,5474,19794.88,25268.88,2022-05,6425258992,South,0.7833699000509718
2021,8,2021-08-02,18,105,3119172046,74,22258.46,300.79,4746,17512.46,22258.46,2021-08,3119172046,South,0.7867777016019976
2022,12,2022-12-19,18,260,9284666396,13,10371.01,797.77,2429,7942.01,10371.01,2022-12,9284666396,East,0.7657894457723983
2022,7,2022-07-15,18,148,2112998302,72,33171.84,460.72,11400,21771.839999999997,33171.84,2022-07,2112998302,West,0.6563350118654858
2022,11,2022-11-21,18,269,5911645706,49,33861.45,691.05,10803,23058.449999999997,33861.45,2022-11,5911645706,East,0.6809646367772201
2021,4,2021-04-02,18,17,6480259534,31,7313.21,235.91,1757,5556.21,7313.21,2021-04,6480259534,East,0.7597498225813288
2023,5,2023-05-25,18,237,9184241514,61,51869.52,850.32,13261,38608.52,51869.52,2023-05,9184241514,West,0.7443392574290257
2023,6,2023-06-21,18,141,279422429,75,73880.25,985.07,23158,50722.25,73880.25,2023-06,279422429,South,0.6865468105481506
2022,9,2022-09-06,18,84,9612654890,17,8900.35,523.55,2038,6862.35,8900.35,2022-09,9612654890,North,0.7710202407770481
2022,3,2022-03-16,18,257,6463170848,46,26769.24,581.94,7473,19296.24,26769.24,2022-03,6463170848,South,0.7208363031598954
2021,6,2021-06-26,18,100,4941801199,73,59659.98,817.26,13999,45660.98,59659.98,2021-06,4941801199,East,0.7653535921399907
2023,9,2023-09-22,18,107,3048499974,10,3903.2,390.32,784,3119.2,3903.2,2023-09,3048499974,North,0.7991391678622668
2021,3,2021-03-25,18,150,6786533897,46,24911.3,541.55,5701,19210.3,24911.3,2021-03,6786533897,East,0.7711480332218712
2022,3,2022-03-12,18,133,5514456308,12,392.52,32.71,87,305.52,392.52,2022-03,5514456308,North,0.7783552430449404
2023,6,2023-06-17,18,259,871088655,10,6813.1,681.31,1428,5385.1,6813.1,2023-06,871088655,East,0.7904037809514024
2021,4,2021-04-20,18,291,7587405425,65,35280.05,542.77,10592,24688.050000000003,35280.05,2021-04,7587405425,East,0.6997736681212187
2022,2,2022-02-11,12,133,743578746,29,27753.0,957.0,7891,19862.0,27753.0,2022-02,743578746,West,0.7156703779771556
2021,7,2021-07-21,12,214,9007417564,78,56366.7,722.65,12283,44083.7,56366.7,2021-07,9007417564,North,0.7820876510421934
2021,2,2021-02-06,12,111,6591710706,59,45731.49,775.11,11424,34307.49,45731.49,2021-02,6591710706,North,0.7501940129219494
2023,2,2023-02-11,12,242,9117902414,74,22509.32,304.18,7868,14641.32,22509.32,2023-02,9117902414,West,0.6504559000449591
2023,11,2023-11-19,12,110,8702571261,58,6616.64,114.08,1409,5207.64,6616.64,2023-11,8702571261,East,0.7870520384968807
2021,1,2021-01-15,12,62,1813576057,37,32778.3,885.9,10806,21972.300000000003,32778.3,2021-01,1813576057,South,0.6703306760875335
2023,9,2023-09-14,12,216,5221209747,24,9858.48,410.77,2615,7243.48,9858.48,2023-09,5221209747,South,0.7347461271920215
2021,8,2021-08-16,12,38,747296987,87,3399.96,39.08,1095,2304.96,3399.96,2021-08,747296987,South,0.6779373874986765
2023,5,2023-05-16,12,238,8711449823,7,2456.02,350.86,573,1883.02,2456.02,2023-05,8711449823,North,0.7666957109469793
2023,5,2023-05-19,12,120,4320517278,44,37982.56,863.24,13219,24763.559999999998,37982.56,2023-05,4320517278,South,0.6519718523448657
2022,7,2022-07-24,12,72,138369,88,65420.08,743.41,22070,43350.08,65420.08,2022-07,138369,South,0.6626418066135046
2021,7,2021-07-09,12,262,7974464428,93,78091.17,839.69,21258,56833.17,78091.17,2021-07,7974464428,West,0.7277797220863768
2021,6,2021-06-08,12,183,4526005599,45,12100.95,268.91,4033,8067.950000000001,12100.95,2021-06,4526005599,East,0.6667203814576542
2021,11,2021-11-13,12,266,4472230631,61,46435.03,761.23,14083,32352.03,46435.03,2021-11,4472230631,East,0.6967160352862914
2023,11,2023-11-19,12,167,8988969551,84,76886.04,915.31,21698,55188.03999999999,76886.04,2023-11,8988969551,West,0.717790121587742
2023,2,2023-02-20,12,292,6181195585,93,88190.04,948.28,20537,67653.04,88190.04,2023-02,6181195585,North,0.7671278978896029
2021,11,2021-11-25,12,251,1686661275,61,57115.52,936.32,14099,43016.52,57115.52,2021-11,1686661275,East,0.7531494066761538
2023,6,2023-06-17,12,217,5009787637,36,25131.6,698.1,5530,19601.6,25131.6,2023-06,5009787637,South,0.7799582995113721
2022,6,2022-06-07,12,175,4170953969,42,27984.6,666.3,6660,21324.6,27984.6,2022-06,4170953969,West,0.7620119637229047
2022,4,2022-04-25,12,163,3408974004,90,20532.6,228.14,6929,13603.599999999999,20532.6,2022-04,3408974004,West,0.6625366490361668
2023,8,2023-08-16,12,203,7037398199,69,5958.15,86.35,1842,4116.15,5958.15,2023-08,7037398199,North,0.6908436343495884
2022,3,2022-03-09,12,120,4959176705,75,19842.0,264.56,4803,15039.0,19842.0,2022-03,4959176705,North,0.7579377078923496
2021,8,2021-08-08,12,152,5938108967,72,56939.04,790.82,19263,37676.04,56939.04,2021-08,5938108967,West,0.6616908188125405
2022,4,2022-04-12,12,153,4963278552,33,23848.11,722.67,5281,18567.11,23848.11,2022-04,4963278552,East,0.7785568751569831
2021,7,2021-07-13,12,221,883477859,76,12092.36,159.11,2888,9204.36,12092.36,2021-07,883477859,North,0.7611715165608699
2022,12,2022-12-15,12,16,3521233844,53,27427.5,517.5,7202,20225.5,27427.5,2022-12,3521233844,West,0.7374168261781059
2021,4,2021-04-11,12,60,5282195286,20,17496.8,874.84,4036,13460.8,17496.8,2021-04,5282195286,South,0.7693292487769192
2023,12,2023-12-05,12,203,1766049957,100,82391.0,823.91,22003,60388.0,82391.0,2023-12,1766049957,West,0.7329441322474542
2022,8,2022-08-13,12,14,5530955686,53,48360.91,912.47,10812,37548.91,48360.91,2022-08,5530955686,South,0.7764310059508805
2022,3,2022-03-12,12,147,16907546,86,4474.58,52.03,1526,2948.58,4474.58,2022-03,16907546,South,0.6589624054101167
2022,7,2022-07-18,10,204,6707071474,34,30892.74,908.61,6949,23943.74,30892.74,2022-07,6707071474,West,0.775060418726212
2023,5,2023-05-01,10,98,6071819372,55,30011.85,545.67,7176,22835.85,30011.85,2023-05,6071819372,South,0.760894446693556
2021,1,2021-01-06,10,209,4196614961,6,2241.9,373.65,664,1577.9,2241.9,2021-01,4196614961,West,0.7038226504304385
2022,5,2022-05-28,10,17,9474012645,12,2510.76,209.23,524,1986.7600000000002,2510.76,2022-05,9474012645,North,0.7912982523220061
2021,12,2021-12-07,10,131,428004095,45,44839.8,996.44,9704,35135.8,44839.8,2021-12,428004095,East,0.7835851185776922
2021,11,2021-11-12,10,269,2903722140,30,4975.2,165.84,1700,3275.2,4975.2,2021-11,2903722140,South,0.6583051937610548
2021,2,2021-02-13,10,50,4401494780,28,21433.72,765.49,4595,16838.72,21433.72,2021-02,4401494780,East,0.7856181754730397
2022,8,2022-08-17,10,157,6195414151,38,34935.3,919.35,8429,26506.300000000003,34935.3,2022-08,6195414151,South,0.7587254152676519
2022,5,2022-05-26,10,102,4686826218,55,31685.5,576.1,7503,24182.5,31685.5,2022-05,4686826218,North,0.7632039892064193
2021,3,2021-03-26,10,17,3120698931,99,56390.4,569.6,15320,41070.4,56390.4,2021-03,3120698931,North,0.7283225513562592
2022,12,2022-12-03,10,281,6396274779,93,2066.46,22.22,584,1482.46,2066.46,2022-12,6396274779,West,0.7173910939481045
2023,6,2023-06-05,10,245,6225658928,72,49677.12,689.96,11265,38412.12,49677.12,2023-06,6225658928,West,0.7732356465109088
2023,3,2023-03-25,10,116,9866955432,81,58764.69,725.49,16674,42090.69,58764.69,2023-03,9866955432,East,0.7162581815712803
2023,8,2023-08-23,10,154,6918448793,71,4703.75,66.25,1181,3522.75,4703.75,2023-08,6918448793,North,0.7489237310656391
2021,11,2021-11-24,10,101,7280358548,69,61536.96,891.84,14966,46570.96,61536.96,2021-11,7280358548,North,0.7567965658362064
2023,7,2023-07-21,10,36,7839443843,4,580.0,145.0,184,396.0,580.0,2023-07,7839443843,North,0.6827586206896552
2023,11,2023-11-16,10,254,8551353885,71,11542.47,162.57,2464,9078.47,11542.47,2023-11,8551353885,West,0.7865274936820282
2022,3,2022-03-06,10,161,257595449,26,21451.04,825.04,6928,14523.04,21451.04,2022-03,257595449,West,0.6770319760720226
2021,7,2021-07-17,10,193,3274176917,2,1729.28,864.64,364,1365.28,1729.28,2021-07,3274176917,South,0.7895077720207254
2023,4,2023-04-04,10,270,4024629706,54,17284.86,320.09,5250,12034.86,17284.86,2023-04,4024629706,East,0.69626598074847
2023,10,2023-10-09,10,142,3878415377,21,10444.77,497.37,2118,8326.77,10444.77,2023-10,3878415377,North,0.7972190866816599
2022,12,2022-12-20,10,130,9738113930,40,39728.4,993.21,10949,28779.4,39728.4,2022-12,9738113930,South,0.7244037011306773
