Customer Number,Item Number,year_month,quarter,region_name,sales,Qty Shipped,COGS,gross_profit,Gross Margin,cost_per_unit
1,1452038.02,2021-01,2021Q1,West,13996.8,648,3851,10145.8,72.49,21.599999999999998
1,1452038.02,2021-02,2021Q1,South,4665.6,216,959,3706.6,79.45,21.6
1,1452038.02,2021-03,2021Q1,East,4665.6,216,1210,3455.600000000001,74.07,21.6
1,1452038.02,2021-03,2021Q1,South,9331.2,432,2915,6416.200000000002,68.76,21.6
1,1452038.02,2021-04,2021Q2,East,9331.2,432,2064,7267.200000000002,77.88,21.6
1,1452038.02,2021-04,2021Q2,South,9331.2,432,2433,6898.200000000002,73.93,21.6
1,1452038.02,2021-05,2021Q2,South,9331.2,432,2557,6774.200000000002,72.6,21.6
1,1452038.02,2021-06,2021Q2,West,9331.2,432,2764,6567.200000000002,70.38,21.6
1,1452038.02,2021-07,2021Q3,East,9331.2,432,2671,6660.200000000002,71.38,21.6
1,1452038.02,2021-08,2021Q3,East,4665.6,216,1322,3343.600000000001,71.66,21.6
1,1452038.02,2021-08,2021Q3,North,9331.2,432,2585,6746.200000000002,72.3,21.6
1,1452038.02,2021-11,2021Q4,South,9331.2,432,2579,6752.200000000002,72.36,21.6
1,1452038.02,2021-11,2021Q4,West,9331.2,432,2463,6868.200000000002,73.6,21.6
1,1452038.02,2021-12,2021Q4,South,9331.2,432,3143,6188.200000000002,66.32,21.6
1,1452038.02,2022-01,2022Q1,South,9331.2,432,3211,6120.200000000002,65.59,21.6
1,1452038.02,2022-01,2022Q1,West,18662.4,864,5278,13384.4,71.72,21.6
1,1452038.02,2022-03,2022Q1,South,2332.8,108,486,1846.8,79.17,21.6
1,1452038.02,2022-03,2022Q1,West,6998.400000000001,324,1904,5094.4000000000015,72.79,21.6
1,1452038.02,2022-04,2022Q2,West,2332.8,108,591,1741.8000000000004,74.67,21.6
1,1452038.02,2022-05,2022Q2,North,27993.600000000002,1296,8516,19477.600000000006,69.58,21.6
1,1452038.02,2022-06,2022Q2,South,9331.2,432,2962,6369.200000000002,68.26,21.6
1,1452405.02,2021-01,2021Q1,East,3168.0,80,659,2509.0,79.2,39.6
1,1452405.02,2021-01,2021Q1,North,3168.0,80,888,2280.0,71.97,39.6
1,1452405.02,2021-01,2021Q1,South,1584.0,40,526,1058.0,66.79,39.6
1,1452405.02,2021-01,2021Q1,West,1584.0,40,343,1241.0,78.35,39.6
1,1452405.02,2021-02,2021Q1,East,7920.0,200,1865,6055.0,76.45,39.6
1,1452405.02,2021-02,2021Q1,North,4752.0,120,1345,3407.0,71.7,39.6
1,1452405.02,2021-02,2021Q1,South,4752.0,120,1303,3449.0,72.58,39.6
1,1452405.02,2021-03,2021Q1,East,4752.0,120,1410,3342.0,70.33,39.6
1,1452405.02,2021-03,2021Q1,North,3168.0,80,825,2343.0,73.96,39.6
1,1452405.02,2021-04,2021Q2,East,3168.0,80,1020,2148.0,67.8,39.6
1,1452405.02,2021-04,2021Q2,South,3168.0,80,923,2245.0,70.86,39.6
1,1452405.02,2021-04,2021Q2,West,3168.0,80,842,2326.0,73.42,39.6
1,1452405.02,2021-05,2021Q2,South,4752.0,120,1223,3529.0,74.26,39.6
1,1452405.02,2021-05,2021Q2,West,1584.0,40,370,1214.0,76.64,39.6
1,1452405.02,2021-06,2021Q2,South,11088.0,280,3002,8086.0,72.93,39.6
1,1452405.02,2021-06,2021Q2,West,6336.0,160,1308,5028.0,79.36,39.6
1,1452405.02,2021-07,2021Q3,East,7920.0,200,1776,6144.0,77.58,39.6
1,1452405.02,2021-07,2021Q3,North,7920.0,200,2579,5341.0,67.44,39.6
